"id","Type","Bezeichnung"
"688","S","Stkr.Erlangen-Höchstadt/Mfr"
"689","S","Stkr.Günzburg/Schw"
"690","S","Erlangen-Höchstadt"
"691","S","Stkr.Altötting-Tittmoning/Obb"
"692","S","Stkr.Altötting-Laufen-Mühldorf/Obb"
"693","S","Stkr.München-Land-Nord/Obb"
"694","S","Stkr.Bamberg,Bayreuth-Pegnitz,Kulmbach-Stadtsteinach,Marktredwitz-Berneck-Wunsiedel,Hof,Cob./Ofr"
"695","S","Stkr.Bamberg-Land/Ofr"
"696","S","Lichtenfels"
"697","S","Neu-Ulm"
"698","S","Kelheim"
"699","S","Stkr.Haßberge/Ufr"
"700","S","Stkr.Dillingen/Schw"
"701","S","Stkr.Landsberg-Stadt u.-Land/Obb"
"702","S","Stkr.Regensburg--Land-West/Opf"
"703","S","Stkr.Erding/Obb"
"704","S","Stkr.Kulmbach-Stadt u.-Land, Stadtsteinach/Ofr"
"705","S","Stkr.Coburg/Ofr"
"706","S","Stkr.München I u. III/Obb"
"707","S","Stkr.Bayreuth-Stadt u. -Land/Ofr"
"708","S","Wunsiedel i. Fichtelgebirge"
"709","S","Stkr.Bad Kissingen/Ufr"
"710","S","Stkr.Rothenburg o.d.T.-Stadt u.-Land/Mfr"
"711","S","Stkr.Rosenheim-Ost/Obb"
"712","S","Garmisch-Partenkirchen"
"713","S","Stkr.Regen/Ndb"
"714","S","Stkr.Schweinfurt-Süd/Ufr"
"715","S","Stkr.Bayreuth/Ofr"
"716","S","Stkr.Miltenberg-Obernburg/Ufr"
"717","S","Stkr.München VIII/Obb"
"718","S","Stkr.München IX/Obb"
"719","S","Stkr.München VI/Obb"
"720","S","Stkr.Parsberg-Riedenburg/ Opf"
"721","S","Stkr.Neu-Ulm-Illertissen/Schw"
"722","S","Aichach-Friedberg"
"723","S","Stkr.München II,Garmisch-Tölz-Wolfratshausen/Obb"
"724","S","Stkr.Erlangen-Cadolzburg-Markt Erlbach/Mfr"
"725","S","Stkr.Burglengenfeld-Parsberg/Opf"
"726","S","Stkr.Landshut-Vilsbiburg,Kelheim-Mainburg-Rottenburg/Ndb"
"727","S","Stkr.Kelheim,Mainburg/Ndb"
"728","S","Stkr.Miesbach/Obb"
"729","S","Stkr.Deggendorf/Straubing-Stadt u. Land/Ndb"
"730","S","Stkr.Schwabach-Stadt u.-Land/Mfr"
"731","S","Stkr.Roth/Mfr"
"732","S","Stkr.Deggendorf-Stadt,Deggendorf-Land,Landau a.d.Isar/Ndb"
"733","S","Stkr.Weilheim/Obb"
"734","S","Stkr.Neumarkt/Opf-Beilngries/Obb-Riedenburg/Ndb"
"735","S","Stkr.Bad Kissingen Stadt u. Land, Bad Neustadt a.d.Saale/Ufr"
"736","S","Kaufbeuren"
"737","S","Stkr.Amberg-Stadt und -Land/Opf"
"738","S","Tirschenreuth"
"739","S","Regensburg-Stadt"
"740","S","München-Land-Nord"
"741","S","Miltenberg"
"742","S","Stkr.unbekannt"
"743","S","Lindau (Bodensee)"
"744","S","Lindau, Sonthofen"
"745","S","Stkr.Neuburg a.d.Donau-Stadt u.Land/Schw"
"746","S","Bamberg-Land"
"747","S","Stkr.Beilngries-Parsberg-Riedenburg/Opf"
"748","S","Stkr.Berchtesgaden-Reichenhall-Laufen/Obb"
"749","S","Stkr.Burglengenfeld-Stadt, Schwandorf-Roding/Opf"
"750","S","Stkr.Kitzingen/Ufr"
"751","S","Günzburg"
"752","S","Stkr.Stadt Weiden i.d.Opf/Neustadt a.d.Waldnaab/Opf"
"753","S","Erding"
"754","S","Stkr.Neumarkt Stadt und Land, Beilngries/Opf"
"755","S","Stkr.Neumarkt-Stadt und -Land, Beilngries, Sulzbach-Rosenberg/Opf"
"756","S","Stkr.Hersbruck - Lauf a.d.Pegnitz/Mfr"
"757","S","Stkr.Illertissen, Neu-Ulm-Stadt und Land/Schw"
"758","S","Stkr.Landshut-Vilsbiburg/Ndb"
"759","S","Stkr.München I und VII/Obb"
"760","S","Stkr.München I/Obb"
"761","S","Stkr.Freyung-Grafenau-Wegscheid, Wolfstein/Ndb"
