"id","Name","Vorname","Titel","Beruf","geb_am","geb_in","ges_am","ges_in","f_id","k_id"
"796","Ortloph","Klement","","Steuerberater","1890-05-21","München","1973-09-24","k.A.","3","3"
"797","Osgyan","Verena","","Dipl. Designerin (FH)","1971-05-14","Roth","null","","7","2"
"798","Ospald","Hermann","","Gewerkschaftssekretär","1921-01-20","Braunseifen, Sudetenland","1996-01-20","Augsburg","3","3"
"799","Ostermeier","Ludwig","","Angestellter, Landrat","1912-01-16","Poing","2006-11-06","Eggenfelden","3","3"
"800","Oswald","Eduard","","Dipl.-Betriebswirt (FH), Lehrer a.D.","1947-09-06","Augsburg","null","","8","3"
"801","Pachner","Reinhard","","Dipl. Ingenieur Agrar (FH)","1944-04-23","Schwarzbach/Böhmerwald","null","","8","1"
"802","Panholzer","Josef","Dr.","Staatssekretär a.D.","1895-03-21","Weilheim","1973-03-29","","3","4"
"803","Papstmann","Hans","","Kaumann, Landrat a.D.","1896-08-15","Kronach","1950-12-31","Kronach","3","3"
"804","Pauli","Gabriele","Dr.","Dipl. Kaufmann","1957-06-26","Schweich","null","","41","null"
"805","Paulig","Ruth","","Diplom-Biologin, Kunsterzieherin","1949-07-07","Seefeld/Obb.","null","","49","null"
"806","Pausch - Gruber","Ursula","","Journalistin","1933-05-12","München","1996-08-22","München","9","3"
"807","Pensel","Franz","Dr.","Ingenieur, Dipl.Kaufmann","1912-12-27","Kulmbach","1985-07-01","Kulmbach","7","5"
"808","Perlak","Reinhold","","Oberbürgermeister a.D.","1945-10-30","Leiblfing/Außerhienthal","null","","50","1"
"809","Peschel","Max","","Direktor der LVA Oberbayern a.D.","1886-09-25","Neumarkt i.d.Opf.","1969-08-27","","3","7"
"810","Peterke","Rudolf","","Polizeibeamter a.D.","1945-12-07","Marienbad","null","","26","1"
"811","Peterlik","Hans","","Angestellter","1899-09-28","","1973-01-22","","3","3"
"812","Peters","Gudrun","","Lehrerin a.D.","1951-02-28","Dingolfing","null","","51","1"
"813","Petersen","Kathi","","Diplomtheologin","1956-03-24","Völklingen","null","","8","1"
"814","Pfaffmann","Hans-Ulrich","","Krankenpfleger, Kaufmann","1956-01-18","Annweiler","null","","2","1"
"815","Pfeffer","Erwin","","Geschäftsführer","1914-05-01","Königsberg, Ostpreußen","1971-07-08","Pocking","3","3"
"816","Pfeiffer","Anton","Dr.","Staatsminister, Leiter der Bayerischen Staatskanzlei","1888-04-07","Rheinzabern/Pfalz","1957-07-20","","3","4"
"817","Pfeuffer","Paul","","Regierungsidirektor a.D.","1929-01-02","Würzburg","2012-06-15","Würzburg","3","3"
"818","Pflanz","Lydia","","Heilpraktikerin für Psychotherapie","1949-05-31","Ansbach","null","","8","1"
"819","Pflüger","Heinrich","","Angestellter","1908-06-04","München","1968-05-09","München","3","4"
"820","Piazolo","Michael","Prof. Dr.","Hochschulprofessor","1959-10-22","Stuttgart","null","","6","1"
"821","Picker","Rolf-Jürgen H.","","Rechtsanwalt, Bankangestellter, Buchautor","1953-06-13","Wilhelmshaven","null","","8","5"
"822","Piechl","Josef","","Landwirt,Kaufmann, Landrat a.D.","1889-09-14","Riedern,Bezirksamt Miesbach","1961-08-18","Mainburg","3","4"
"823","Piehler","Andreas","","Bergmann, Geschäftsführer der Süddeutschen Knappschaft","1888-10-11","Nürnberg","null","","3","3"
"824","Pienßel","Franz","","selbständiger Werbeberater","1959-01-08","München","null","","8","1"
"825","Piper","Richard","","Regierungsrat","1907-05-06","Augsburg","1955-07-09","Pfarrkirchen","3","3"
"826","Pirkl","Fritz","Dr.","Dipl.Psychologe, Staatsminister a.D.","1925-08-13","Sulzbach-Rosenberg","1993-08-19","Nürnberg","4","4"
"827","Pittroff","Claus","","Lehrer a.D., Landrat a.D.; Staatssekretär a.D.","1896-06-13","Stammbach","1958-12-02","Bayreuth","3","3"
"828","Plank","Ludwig","","Bauer","1896-03-28","Hettenkofen","1983-10-01","Hettenkofen","2","4"
"829","Plattner","Edeltraud","","Bäuerin","1959-06-12","Obertaufkirchen","null","","2","1"
"830","Pohl","Bernhard","","Rechtsanwalt","1964-11-13","Werneck","null","","6","1"
"852","Pöhlmann","Siegfried","Dr.","Rechtsanwalt","1923-07-11","Pocking/Ndb.","2000-07-17","k.A.","3","6"
"853","Pöhner","Konrad","Dr.","Baugeschäftsinhaber, Staatssekretär a.D., Staatsminister a.D.","1901-07-24","Bayreuth","1974-09-24","Bayreuth","4","2"
