"id","Bezeichnung"
"271","II. Vizepräsident"
"65","II. Vizepräsidentin"
"366","II.Ausschuß für Gegenstände der Finanzen und Staatsschuld"
"334","II.Verfassungs-Ausschuß"
"344","III. Vizepräsident"
"368","III.Ausschuß für Petitionen"
"279","IV. Vizepräsidentin"
"381","IX.Landtagswahlgesetz-Ausschuß"
"315","Juristischer Unterausschuß"
"221","Kinderkommission des Bayerischen Landtags"
"176","Kommission als Beirat des Beauftragten zur Durchführung des Art. 160 BV"
"129","Kommission Art. 10 GG"
"258","Kommission für Verwaltungsvereinfachung bei der Staatskanzlei"
"24","Kommission gem. Art.160 d.BV"
"132","Kommission nach Art. 2 des Gesetzes zur Ausführung des Gesetzes zu Art. 10 Grundgesetz"
"340","Kommission zur gemeinsamen Beratung kommunalpolitischer Fragen zwischen Vertretern der Landtagsfraktionen und des Städtebundes"
"350","Kommission zur parlamentarischen Begleitung der Energiewende in Bayern"
"58","Kommission zur parlamentarischen Begleitung der Krisenbewältigung bei der BayernLB"
"141","Kommission zur Prüfung der Staatsbürgschaften"
"182","Kreditausschuß"
"239","Kuratorium ""Haus des Deutschen Ostens"""
"171","Kuratorium Landesstiftung zur ""Hilfe für Mutter und Kind"""
"275","Landesamt für Soforthilfe"
"52","Landesdenkmalrat"
"146","Landesgesundheitsrat"
"241","Landesschulbeirat"
"142","Landesseniorenrat"
"18","Landessportbeirat"
"70","Landtag"
"317","Lotteriebeirat"
"92","Medienrat"
"328","Nationalgerichtshof"
"30","Nichtberufliche Mitglieder und Stellvertreter des Bayerischen Verfassungsgerichtshofs"
"348","NPD"
"224","Parlamentarische Kontrollkommission"
"216","Parlamentarischer Rat beim Länderrat in Stuttgart"
"218","Parlamentarischer Rat in Bonn"
"87","Parlamentarisches Kontrollgremium"
"287","Polizeiausschuß"
"203","Präsident"
"363","Präsidentin"
"5","Präsidium"
"98","Prüfungsausschuss zur Prüfung der Einsprüche nach Art. 6 des Gesetzes zur Siedlungs- und Bodenreform"
"163","Rechtsausschuß - Unterausschuß - Neubildung d.Gem.i.Lkr.Fürstenfeldbruck"
"113","Richter-Wahl-Kommission"
"193","Richterwahlkommission"
"14","Rundfunkrat"
"160","Sonderausschuss zum Abschluss der Entnazifizierung"
"27","Sonderausschuss zur Beratung des Betriebsrätegesetzes"
"63","SPD"
"310","Staatsgerichtshof"
"311","Staatsschuldenverwaltung"
"304","Ständiger Ausschuss"
"179","Ständiger Beirat beim Bundesausgleichsamt"
"61","Stellvertr. Vorsitzende"
"210","Stellvertr. Vorsitzender"
"209","Stiftungsrat der Bayer. Forschungsstiftung"
"13","Stiftungsrat der Bayerischen Landesstiftung"
"190","Stiftungsrat der Sudetendeutschen Stiftung"
"219","stv. Mitglied"
"327","stv.Vorsitzende"
"244","stv.Vorsitzender"
"196","Torfwirtschaftsrat"
"167","Unterausschuß"
"377","Unterausschuß (des Ausschusses für den Staatshaushalt) zur Prüfung der staatlichen Betriebe"
"326","Unterausschuß - 7er-Kommission-"
"230","Unterausschuß - Arbeiterfragen"
"232","Unterausschuß - Finanzangelegenheiten"
"294","Unterausschuß - Forstrechtsfragen"
"307","Unterausschuß - Friedensrichtergesetz"
"357","Unterausschuß - Gemeindeneubildung i.Lkr. Fürstenfeldbruck"
"281","Unterausschuß - Geschirrlager Leupold-Teisendorf"
"253","Unterausschuß - Grenzlandfragen"
"127","Unterausschuß - Haushaltsausschuß Theaterfragen und Kirchen"
"197","Unterausschuß - Jagdreferat"
"102","Unterausschuß - Landarbeiterfragen"
"324","Unterausschuß - Milch A."
"251","Unterausschuß - nichtstaatliche Schulen"
"247","Unterausschuß - Pflastersteinindustrie"
"316","Unterausschuß - Pressegesetz"
"263","Unterausschuß - Rechtsgrundlagen"
"228","Unterausschuß - Schwerbeschädigte"
"211","Unterausschuß - Sozialausschuß"
"293","Unterausschuß - Tbc.Gesellsch."
"233","Unterausschuß - Verf.Ausschuß-Feiertagsgesetz"
"215","Unterausschuß - Verfassungsausschuß - Friedensrichtergesetz"
"308","Unterausschuß - VGH-Gesetz"
"329","Unterausschuß - VGHÄG"
"320","Unterausschuß - VO über die Neubildung einer Gemeinde im Lkrs. Fürstenfeldbruck"
"309","Unterausschuß - Wahlkreise z. BT-Wahl"
"198","Unterausschuß - Weihenstephan"
"349","Unterausschuß - Wirtschaftsausschuß"
"125","Unterausschuß - Wirtschaftsausschuß Treuhändergesetz"
"110","Unterausschuß - Wohnraumfragen und Schwerbeschädigte"
"314","Unterausschuß - Zwischenausschuß"
"77","Unterausschuß des Grenzlandausschusses zur Beratung des Grenzlandhilfeprogramms"
"139","Unterausschuß des Haushaltsausschusses"
"188","Unterausschuß des Sozialausschusses"
"201","Unterausschuß des Untersuchungsausschusses"
"386","Unterausschuß des Verfassungs-u.Soz.Ausschusses"
"36","Unterausschuß des Verfassungsausschusses - Wahlkreise f.d.1.Bundestag"
"78","Unterausschuß des Wirtschafts- und Grenzlandausschusses"
"238","Unterausschuß für Aufgaben wirtschaftlicher Art"
"248","Unterausschuß für Fragen wirtschaftlicher Art"
"80","Unterausschuß für Jugendfragen"
"355","Unterausschuß für Wirtschaft und Verkehr"
"302","Unterausschuß zur Beratung der Neugestaltung der Rechtsverhältnisse der bayerischen Bahnen"
