"pa_id","a_id","Typ","von","bis"
"101","42","Mitglied","1948-06-10","1950-11-26"
"102","42","Mitglied","1950-11-27","1954-12-12"
"23","43","Mitglied","1958-12-04","1962-12-06"
"71","43","Mitglied","1955-01-13","1958-12-03"
"74","43","Mitglied","1955-01-13","1958-12-03"
"79","43","Mitglied","1958-05-20","1958-12-03"
"81","43","Mitglied","1959-07-01","1959-07-01"
"8","44","Vorsitzender","1950-11-27","1954-12-12"
"22","44","Mitglied","1950-11-27","1950-11-27"
"26","44","Mitglied","1946-07-15","1946-10-26"
"31","44","Mitglied","1946-12-16","1950-11-26"
"42","44","Mitglied","1950-11-27","1954-12-12"
"51","44","Mitglied","1958-03-24","1958-12-03"
"64","44","Mitglied","1950-11-27","1954-12-12"
"103","44","Mitglied","1949-03-24","1949-03-24"
"103","44","Mitglied","1949-11-30","1950-11-30"
"104","44","Mitglied","1949-07-26","1950-11-26"
"105","44","Mitglied","1950-01-17","1950-01-17"
"106","44","Vorsitzender","1950-11-27","1962-12-06"
"107","44","Mitglied","1950-11-27","1954-12-12"
"85","45","Mitglied","2013-11-06","2013-11-06"
"108","45","Mitglied","2013-11-06","2013-11-06"
"7","46","Mitglied","1950-11-27","1954-12-12"
"11","46","Mitglied","1947-04-07","1950-11-26"
"21","46","Mitglied","1947-01-29","1950-11-26"
"25","46","Mitglied","1950-11-27","1954-12-12"
"34","46","Mitglied","1946-12-16","1950-11-26"
"72","46","Mitglied","1950-11-27","1954-12-12"
"109","46","Mitglied","1947-05-30","1950-11-26"
"110","46","Mitglied","1947-07-11","1950-11-26"
"21","47","Mitglied","1950-11-27","1954-12-12"
"22","47","Mitglied","1953-08-07","1953-08-07"
"72","47","Mitglied","1950-11-27","1954-12-12"
"22","48","Mitglied","1947-01-29","1947-01-29"
"100","48","Mitglied","1947-01-29","1947-06-20"
"111","48","Mitglied","1947-07-15","1950-11-26"
"47","49","Mitglied","2008-12-04","2013-10-06"
"62","49","Mitglied","2010-02-24","2011-03-29"
"88","49","Mitglied","2008-12-04","2013-10-06"
"112","49","Mitglied","2008-12-17","2013-10-06"
"113","49","Mitglied","2011-04-06","2013-10-06"
"10","50","Mitglied","1990-07-20","1990-10-23"
"64","50","stv. Mitglied","1986-10-22","1987-11-16"
"88","50","Mitglied","1986-11-12","1990-10-14"
"113","50","Mitglied","2015-02-03","2015-02-03"
"114","50","Fraktionsvorsitzende","1986-10-22","1987-11-16"
"114","50","Fraktionsvorsitzende","1989-02-13","1990-10-23"
"114","50","Fraktionsvorsitzende","2003-10-06","2003-10-06"
"115","50","Mitglied","1990-07-20","1990-10-23"
"116","50","Mitglied","2004-12-16","2007-02-15"
"2","51","Mitglied","1962-12-07","1966-12-01"
"9","52","Mitglied","1965-10-27","1966-12-01"
"9","52","Mitglied","1967-01-18","1967-12-04"
"11","52","Mitglied","1965-10-21","1966-12-01"
"11","52","Mitglied","1966-12-02","1967-12-04"
"30","52","Mitglied","1967-01-31","1967-12-04"
"7","53","Mitglied","1996-05-09","1998-09-27"
"10","53","stv. Mitglied","1998-07-09","1998-09-27"
"117","53","Mitglied","1996-05-09","1998-09-27"
"10","54","Mitglied","1962-10-23","1962-12-06"
"11","54","Mitglied","1954-12-13","1958-12-03"
"11","54","Mitglied","1958-12-04","1962-12-06"
"14","54","Mitglied","1955-01-11","1955-12-14"
"14","54","Mitglied","1955-12-15","1958-12-03"
"14","54","Mitglied","1959-01-13","1962-02-06"
"28","54","Mitglied","1954-05-18","1954-12-12"
